442 2475 87 2123 1998 2 0 542088
443 2481 82 2123 2008 2 0 545506
444 2483 80 2126 2001 2 0 542562
445 2525 67 2126 2077 2 0 575447
446 2511 77 2128 2056 2 0 566561
447 2528 82 2131 2082 2 0 578812
448 2482 78 2131 2009 2 0 548560
449 2468 80 2131 1986 2 0 538877
450 2484 83 2134 2013 2 0 550909
451 2497 75 2135 2034 2 0 560090
452 2525 79 2138 2080 2 0 578740
453 2510 76 2139 2043 2 0 562711
454 2520 82 2140 2066 2 0 571696
455 2520 74 2141 2074 2 0 577061
456 2529 71 2143 2080 2 0 577131
457 2540 80 2145 2100 2 0 584662
458 2509 72 2146 2046 2 0 562864
459 2516 74 2148 2056 2 0 564837
460 2495 89 2150 2025 2 0 553597
461 2493 78 2151 2013 2 0 548125
462 2546 76 2154 2116 2 0 593955
463 2523 78 2156 2077 2 0 576381
464 2508 87 2157 2042 2 0 559794
465 2514 71 2157 2056 2 0 565965
466 2503 70 2157 2031 2 0 556445
467 2483 78 2159 2008 2 0 546709
468 2501 83 2161 2035 2 0 558930
469 2467 86 2162 1982 2 0 530826
470 2498 79 2162 2025 2 0 550388
471 2507 80 2162 2047 2 0 562165
472 2499 83 2162 2032 2 0 556376
473 2527 77 2164 2081 2 0 579870
474 2509 86 2165 2043 2 0 561703
475 2479 89 2169 1993 2 0 539853
476 2526 82 2172 2079 2 0 576220
477 2505 73 2173 2039 2 0 558332
478 2526 74 2174 2082 2 0 578092
479 2511 80 2177 2048 2 0 562507
480 2523 90 2181 2072 2 0 573734
481 2527 82 2182 2071 2 0 573253
482 2519 80 2184 2065 2 0 571188
483 2507 82 2184 2041 2 0 559774
484 2537 80 2184 2098 2 0 585262
485 2540 80 2186 2115 2 0 593660
486 2546 72 2189 2111 2 0 588075
487 2519 73 2190 2062 2 0 568544
488 2523 89 2193 2082 2 0 576954
489 2531 76 2194 2088 2 0 579508
490 2508 101 2198 2057 2 0 568847
491 2485 93 2201 2018 2 0 551692
492 2516 84 2205 2066 2 0 571045
493 2511 79 2206 2048 2 0 562961
494 2507 77 2209 2047 2 0 562668
495 2512 89 2209 2048 2 0 563193
496 2524 78 2211 2067 2 0 573289
497 2486 80 2213 2013 2 0 549026
498 2509 93 2214 2053 2 0 565382
499 2486 82 2215 2010 2 0 548368
500 2507 85 2219 2042 2 0 561456
501 2533 84 2222 2089 2 0 579902
502 2516 79 2227 2057 2 0 564400
503 2518 80 2227 2062 2 0 568862
504 2521 87 2227 2069 2 0 571659
505 2518 82 2229 2064 2 0 571997
506 2483 86 2229 2005 2 0 546276
507 2504 85 2230 2043 2 0 561801
508 2528 83 2232 2091 2 0 583695
509 2501 83 2235 2050 2 0 566517
510 2528 79 2239 2092 2 0 583746
511 2523 89 2240 2074 2 0 574585
512 2549 77 2242 2124 2 0 594229
513 2514 77 2242 2063 2 0 567758
514 2537 81 2245 2096 2 0 580733
515 2534 81 2249 2093 2 0 580085
516 2513 80 2249 2065 2 0 570484
517 2536 83 2252 2100 2 0 585697
518 2517 75 2254 2062 2 0 568767
519 2519 73 2256 2074 2 0 575351
520 2533 75 2257 2085 2 0 578245
521 2482 79 2257 2007 2 0 545628
522 2501 77 2260 2032 2 0 556359
523 2477 86 2264 2002 2 0 543822
524 2483 77 2264 2008 2 0 547740
525 2504 86 2264 2042 2 0 561103
526 2524 88 2266 2079 2 0 578746
527 2542 77 2269 2110 2 0 591315
528 2518 82 2270 2064 2 0 570449
529 2505 80 2270 2041 2 0 559670
530 2547 78 2272 2117 2 0 592637
531 2566 76 2272 2153 2 0 605610
532 2563 75 2272 2146 2 0 604781
533 2516 85 2274 2067 2 0 571119
534 2498 85 2275 2025 2 0 552738
535 2536 79 2278 2098 2 0 585309
536 2498 83 2279 2029 2 0 555485
537 2507 83 2284 2054 2 0 566453
538 2505 80 2285 2056 2 0 567407
539 2505 77 2286 2046 2 0 562857
540 2524 78 2289 2075 2 0 574567
541 2506 81 2289 2048 2 0 561683
542 2511 87 2291 2053 2 0 564400
543 2524 77 2295 2076 2 0 573916
544 2532 72 2295 2087 2 0 579501
545 2497 80 2296 2029 2 0 555472
546 2504 82 2298 2040 2 0 560093
547 2515 89 2301 2063 2 0 570160
548 2509 82 2304 2046 2 0 564463
549 2521 87 2305 2071 2 0 574317
550 2525 94 2308 2082 2 0 580859
551 2519 83 2309 2066 2 0 572714
552 2530 74 2310 2088 2 0 579970
