t	N	S	f197536	f197553	f205457	f205440	f197537
350	2513	87	0	0	0	0	0
351	2487	89	0	0	0	0	0
352	2502	85	0	0	0	0	0
353	2481	83	0	0	0	0	0
354	2520	87	0	0	0	0	0
355	2541	83	0	0	0	0	0
356	2530	76	0	0	0	0	0
357	2519	75	0	0	0	0	0
358	2488	81	0	0	0	0	0
359	2485	79	0	0	0	0	0
360	2492	78	0	0	0	0	0
361	2506	79	0	0	0	0	0
362	2541	82	0	0	0	0	0
363	2534	82	0	0	0	0	0
364	2545	81	0	0	0	0	0
365	2492	87	0	0	0	0	0
366	2510	88	0	0	0	0	0
367	2495	86	0	0	0	0	0
368	2531	92	0	0	0	0	0
369	2511	82	0	0	0	0	0
370	2528	86	0	0	0	0	0
371	2522	80	0	0	0	0	0
372	2490	79	0	0	0	0	0
373	2494	76	0	0	0	0	0
374	2502	87	0	0	0	0	0
375	2527	86	0	0	0	0	0
376	2526	82	0	0	0	0	0
377	2529	86	0	0	0	0	0
378	2508	82	0	0	0	0	0
379	2535	79	0	0	0	0	0
380	2533	74	0	0	0	0	0
381	2529	78	0	0	0	0	0
382	2536	83	0	0	0	0	0
383	2530	78	0	0	0	0	0
384	2522	86	0	0	0	0	0
385	2483	82	0	0	0	0	0
386	2498	82	0	0	0	0	0
387	2492	81	0	0	0	0	0
388	2482	80	0	0	0	0	0
389	2504	81	0	0	0	0	0
390	2529	73	0	0	0	0	0
391	2513	84	0	0	0	0	0
392	2492	83	0	0	0	0	0
393	2523	82	0	0	0	0	0
394	2529	85	0	0	0	0	0
395	2532	81	0	0	0	0	0
396	2528	79	0	0	0	0	0
397	2523	83	0	0	0	0	0
398	2492	86	0	0	0	0	0
399	2499	85	0	0	0	0	0
400	2499	91	0	0	0	0	0
401	2522	93	0	0	0	0	0
402	2512	85	0	0	0	0	0
403	2492	77	0	0	0	0	0
404	2492	81	0	0	0	0	0
405	2508	68	0	0	0	0	0
406	2481	73	0	0	0	0	0
407	2499	79	0	0	0	0	0
408	2506	83	0	0	0	0	0
409	2519	81	0	0	0	0	0
410	2470	84	0	0	0	0	0
411	2506	82	0	0	0	0	0
412	2499	87	0	0	0	0	0
413	2514	88	0	0	0	0	0
414	2529	89	0	0	0	0	0
415	2502	80	0	0	0	0	0
416	2493	83	0	0	0	0	0
417	2517	75	0	0	0	0	0
418	2506	77	0	0	0	0	0
419	2489	76	0	0	0	0	0
420	2516	83	0	0	0	0	0
421	2507	84	0	0	0	0	0
422	2505	84	0	0	0	0	0
423	2491	77	0	0	0	0	0
424	2507	77	0	0	0	0	0
425	2557	71	0	0	0	0	0
426	2533	83	0	0	0	0	0
427	2491	86	0	0	0	0	0
428	2494	90	0	0	0	0	0
429	2507	84	0	0	0	0	0
430	2542	79	0	0	0	0	0
431	2544	80	0	0	0	0	0
432	2527	82	0	0	0	0	0
433	2536	83	0	0	0	0	0
434	2552	81	0	0	0	0	0
435	2524	81	0	0	0	0	0
436	2540	86	0	0	0	0	0
437	2475	91	0	0	0	0	0
